web-scraper-order,web-scraper-start-url,Reviews,Pagination,Pagination-href
"1530529527-943","https://www.indeed.co.in/cmp/Amazon.com/reviews","The work culture at amazon was amazing. It feels like you are in a college. I learned a lot of things there. The work place environment is very fee. All the colleagues were good.","29","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=560"
"1530529832-1051","https://www.indeed.co.in/cmp/Amazon.com/reviews","Working at Amazon has always been amazing, I have been learning new things every day from the day one that I have joined the organization.

The management functions very efficiently and helps you understand the work, culture and also encourages in every other activities very enthusiastically.

There is very good bonding between each and every associate, every associate gives immense support and help when required.

Work has always been a part of joy more than the monotonous work, so much to learn and explore, every day tasks and also new statistics and targets were very encouraging.","53","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=1040"
"1530529620-985","https://www.indeed.co.in/cmp/Amazon.com/reviews","Good company, Productive, Good environment, Fun learning, Technologies are also good, kind of startup environment, not lazy at all and always cheerful.","37","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=720"
"1530529331-848","https://www.indeed.co.in/cmp/Amazon.com/reviews","Most workable place with lots of freedom and there is a lot of scope for growth.
Most of colleagues are very friendly.
You will hav emore time for yourself so that you can work on your hobbies and dreams.","13","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=240"
"1530529564-949","https://www.indeed.co.in/cmp/Amazon.com/reviews","It's an amazing place to work. Rewards and recognisitions keeps motivating one to work hard and get rewarded. Balanced work and personal life. One word : amazon = amazing","33","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=640"
"1530529294-811","https://www.indeed.co.in/cmp/Amazon.com/reviews","Figure out what you want your priorities to be, not what you think they should be. Ask yourself, ""If I could only focus on one thing in my life, what would it be","5","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=80"
"1530529564-954","https://www.indeed.co.in/cmp/Amazon.com/reviews","Working experience with my previous company was good. My confidence levels, communication level grew higher. I was exposed to different teams working there, learnt management skills, professional skills and inter personal skills as well. Even if there was work pressure, the way we handle things matter. Hence I enjoyed every part of it.","33","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=640"
"1530529900-1100","https://www.indeed.co.in/cmp/Amazon.com/reviews","Most enjoyable part of the job

Its is productive and working place

A typical day at work 

And a good management

And having good co-workers

No hardest part of the job","61","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=1200"
"1530529302-822","https://www.indeed.co.in/cmp/Amazon.com/reviews","in amazon i feel still day 1, every day is more energetic.
every day is new learning, life balance is little bit challenging but 2 week off get you refresh","9","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=160"
"1530529788-1042","https://www.indeed.co.in/cmp/Amazon.com/reviews","Rating system is very poor.
Behaviour of my HOD is unbearable.
Management is very poor.
Loading & Unloading trucks.
Payment are not playable at right time.","49","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=960"
"1530529937-1125","https://www.indeed.co.in/cmp/Amazon.com/reviews","One of the best company in terms of work culture, management and employee benefits. Provides required and sufficient work environment to the employees. Very transparent and understandable hierarchy structure to move up the ladder.","65","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=1280"
"1530529664-995","https://www.indeed.co.in/cmp/Amazon.com/reviews","Hectic when it comes to work. Workplace culture is good. Management pushes you hard to finish the assigned work. Overachieving targets is what takes you ahead at Amazon.","41","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=800"
"1530530035-1166","https://www.indeed.co.in/cmp/Amazon.com/reviews","Very nice working environment.
Best culture and a nice management.","73","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=1440"
"1530529411-894","https://www.indeed.co.in/cmp/Amazon.com/reviews","work hard, have fun and make history. its always day 1 at amazon. The best company with good management. Best in the market undoubtedly. Good for people who would love to grow and explore opportunities. Management is ever ready to help in every situation. Environment is always lively. Healthy competition.","21","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=400"
"1530529738-1022","https://www.indeed.co.in/cmp/Amazon.com/reviews","Data-oriented, friendly, hardworking, tech-savvy colleagues and managers.  Can learn a lot, personal and professional development, open policies

Work Hard, Have Fun, Make History","45","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=880"
"1530529411-884","https://www.indeed.co.in/cmp/Amazon.com/reviews","One of the best places to work , if there is chance to go back will definitely take it.
Awesome crowd and best place to learn more about business and develop ourselves","21","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=400"
"1530529370-872","https://www.indeed.co.in/cmp/Amazon.com/reviews","Amazon culture is excellent. my first MNC job experience is in amazon. Always given first propriety to customers. so that presently amazon is a great MNC in the world.","17","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=320"
"1530529302-839","https://www.indeed.co.in/cmp/Amazon.com/reviews","Amazon Company is better....but salary is not good... because work is very hard...I'm working 10 hours in a day....I like computer job...like operator... Account..Bills , taxes, debit credit, sales purchase etc..so I'm searching a good job for me...","9","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=160"
"1530529302-829","https://www.indeed.co.in/cmp/Amazon.com/reviews","Such a nice Work place ever seen. Work will be so relaxed an I have learned lot of new Technologies. The Leadership management provide nice benefits to the Employees.","9","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=160"
"1530529866-1081","https://www.indeed.co.in/cmp/Amazon.com/reviews","depends upon how much time you spend in a day.
learned how to earn.
excellent management.
supportive.
when unable to deal with new things.
less utilization of  brain.","57","https://www.indeed.co.in/cmp/Amazon.com/reviews?start=1120"
